name,size,desc_code,OBJECTID,TA12,NAME_2,Shape_Leng,Shape_Area,icon_url
Oaonui,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Oaonui Stream,"5",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Rahotu,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Pungarehu,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Cape Egmont,"7",PNT,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Warea,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Puniho,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Tumahu,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Stony River (Hangatahua),"5",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Okato,"6",POPL,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Tataraimaka,"5",LOC,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Rowan,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Lowgarth,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Mahoe,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Cardiff,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Ngaere,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Pukengahu,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Huinga,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Patea River,"7",STRM,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Mount Taranaki or Mount Egmont,"7",HILL,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Pembroke,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
